code,name,lat,lng,iso_country,iso_region,municipality
AYW,Ayawasi Airport,-1.1593,132.4633,ID,ID-PB,Ayawasi-Papua Island
AYY,Arugam Bay SPB,6.86,81.82388889,LK,LK-5,Pottuvil
AYZ,Zahn's Airport,40.71,-73.4,US,US-NY,Amityville
AZA,Phoenix-Mesa-Gateway Airport,33.30780029,-111.6549988,US,US-AZ,Phoenix
AZB,Amazon Bay Airport,-10.29916667,149.3383333,PG,PG-CPM,
AZD,Shahid Sadooghi Airport,31.9048996,54.2765007,IR,IR-25,Yazd
AZG,Pablo L. Sidar Airport,19.093399,-102.393997,MX,MX-MIC,ApatzingÃ¡n
AZI,Bateen Airport,24.42830086,54.45809937,AE,AE-AZ,
AZL,Fazenda TucunarÃ© Airport,-13.46552781,-58.86693478,BR,BR-MT,Sapezal
AZN,Andizhan Airport,40.72769928,72.29399872,UZ,UZ-AN,Andizhan
AZO,Kalamazoo Battle Creek International Airport,42.23490143,-85.55210114,US,US-MI,Kalamazoo
AZP,Atizapan De Zaragoza Airport,19.57480049,-99.2888031,MX,MX-MEX,
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,27.83760071,-0.186414003,DZ,DZ-01,
AZS,SamanÃ¡ El Catey International Airport,19.2670002,-69.74199677,DO,DO-20,Samana
AZT,Zapatoca Airport,6.816667,-73.283333,CO,CO-SAN,Zapatoca
AZZ,Ambriz Airport,-7.86221981,13.11610031,AO,AO-BGO,Ambriz
BAA,Bialla Airport,-5.330560207,151.0079956,PG,PG-WBK,"Bialla, Matalilu, Ewase"
BAB,Beale Air Force Base,39.13610077,-121.4369965,US,US-CA,Marysville
BAC,Barranca De Upia Airport,4.583333,-72.966667,CO,CO-MET,Barranca De Upia
BAD,Barksdale Air Force Base,32.50180054,-93.66269684,US,US-LA,Bossier City
BAE,Barcelonnette - Saint-Pons Airport,44.387198,6.609186,FR,FR-U,Le Castellet
BAF,Westfield-Barnes Regional Airport,42.157799,-72.715599,US,US-MA,Westfield/Springfield
BAG,Loakan Airport,16.37509918,120.6200027,PH,PH-BEN,Baguio City
BAH,Bahrain International Airport,26.27079964,50.63359833,BH,BH-15,Manama
BAI,Buenos Aires Airport,9.163949,-83.330171,CR,CR-P,Punta Arenas
BAJ,Bali Airport,-4.883333333,149.1333333,PG,PG-WBK,Unea Island
BAL,Batman Airport,37.92900085,41.11660004,TR,TR-72,Batman
BAM,Battle Mountain Airport,40.59899902,-116.8740005,US,US-NV,Battle Mountain
BAN,Basongo Airport,-4.315802,20.414891,CD,CD-KW,Basongo
BAO,Udorn Air Base,17.38299942,102.8000031,TH,TH-41,Ban Mak Khaen
BAP,Baibara Airport,-10.3432,149.6414,PG,PG-CPM,Nabai
BAQ,Ernesto Cortissoz International Airport,10.8896,-74.7808,CO,CO-ATL,Barranquilla
BAR,Qionghai Bo'ao Airport,19.13824,110.454775,CN,CN-46,Qionghai
BAS,Ballalae Airport,-6.990745,155.886656,SB,SB-WE,Ballalae
BAT,Chafei Amsei Airport,-20.58449936,-48.59410095,BR,BR-SP,Barretos
BAU,Bauru Airport,-22.34499931,-49.05379868,BR,BR-SP,Bauru
BAV,Baotou Airport,40.56000137,109.9970016,CN,CN-15,Baotou
BAX,Barnaul Airport,53.36380005,83.53849792,RU,RU-ALT,Barnaul
BAY,Tautii Magheraus Airport,47.65840149,23.46999931,RO,RO-MM,Baia Mare
BAZ,Barcelos Airport,-0.981292,-62.919601,BR,BR-AM,Barcelos
BBA,Balmaceda Airport,-45.91609955,-71.6894989,CL,CL-AI,Balmaceda
BBB,Benson Municipal Airport,45.33190155,-95.65059662,US,US-MN,Benson
BBC,Bay City Municipal Airport,28.97330093,-95.8635025,US,US-TX,Bay City
BBD,Curtis Field,31.17930031,-99.32389832,US,US-TX,Brady
BBE,Big Bell Airport,-27.32859993,117.6729965,AU,AU-WA,Big Bell
BBG,Butaritari Atoll Airport,3.08583,172.811005,KI,KI-G,Butaritari Atoll
BBH,Barth Airport,54.338253,12.710515,DE,DE-MV,
BBI,Biju Patnaik Airport,20.24440002,85.81780243,IN,IN-OR,Bhubaneswar
BBJ,Bitburg Airport,49.945278,6.565,DE,DE-RP,Bitburg
BBK,Kasane Airport,-17.83289909,25.16239929,BW,BW-NW,Kasane
BBL,Ballera Airport,-27.405633,141.809458,AU,AU-QLD,
BBM,Battambang Airport,13.09560013,103.223999,KH,KH-2,Battambang
BBN,Bario Airport,3.733890057,115.4789963,MY,MY-13,Bario
BBO,Berbera Airport,10.38920021,44.94110107,SO,SO-WO,Berbera
BBP,Bembridge Airport,50.67810059,-1.109439969,GB,GB-ENG,Bembridge
BBQ,Codrington Airport,17.635799,-61.828602,AG,AG-10,Codrington
BBR,Baillif Airport,16.01329994,-61.74219894,GP,GP-U-A,Basse Terre
